# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.013387 seconds
# 2447.811630 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  3850	     0.06714	     0.00377
  3900	     0.07243	     0.00382
  3950	     0.05031	     0.00319
  4000	     0.05632	     0.00331
  4050	     0.04120	     0.00274
  4100	     0.05473	     0.00324
  4150	     0.04450	     0.00281
  4200	     0.04192	     0.00275
  4250	     0.03692	     0.00252
  4300	     0.04184	     0.00272
  4350	     0.03964	     0.00254
  4400	     0.04097	     0.00256
  4450	     0.03164	     0.00224
  4500	     0.03043	     0.00213
  4550	     0.03491	     0.00237
  4600	     0.03471	     0.00224
  4650	     0.03897	     0.00237
  4700	     0.03332	     0.00212
  4750	     0.02487	     0.00188
  4800	     0.02188	     0.00172
  4850	     0.02733	     0.00190
  4900	     0.02680	     0.00183
  4950	     0.02085	     0.00161
# extra	     0.20126
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.011795 seconds
# 2778.222661 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	877768.40625	        -nan
    50	  4690.03836	    50.11901
   100	  1753.07936	    18.35991
   150	   905.46949	     9.44636
   200	   541.39429	     5.68352
   250	   325.70057	     3.63992
   300	   219.13661	     2.49060
   350	   157.71208	     1.85753
   400	   111.63245	     1.38026
   450	    90.42899	     1.11321
   500	    69.89662	     0.89332
   550	    52.69864	     0.71033
   600	    40.04889	     0.57509
   650	    31.69698	     0.46905
   700	    25.64405	     0.39634
   750	    22.40893	     0.34661
   800	    17.22858	     0.28674
   850	    15.60861	     0.25924
   900	    13.44100	     0.22435
   950	     9.35520	     0.18030
  1000	     8.18822	     0.16079
  1050	     6.35402	     0.13527
  1100	     6.26634	     0.12693
  1150	     5.34658	     0.11323
  1200	     4.73419	     0.10238
  1250	     4.39922	     0.09469
  1300	     3.13633	     0.07631
  1350	     2.70355	     0.06869
  1400	     2.89920	     0.06866
  1450	     2.37205	     0.05988
  1500	     2.22860	     0.05640
  1550	     1.68316	     0.04750
  1600	     1.66977	     0.04651
  1650	     1.62603	     0.04350
  1700	     1.25223	     0.03718
  1750	     1.22919	     0.03611
  1800	     1.09595	     0.03297
  1850	     0.85008	     0.02850
  1900	     0.77542	     0.02631
  1950	     0.84312	     0.02670
  2000	     0.76317	     0.02460
  2050	     0.55414	     0.02079
  2100	     0.57989	     0.02036
  2150	     0.48534	     0.01801
  2200	     0.41344	     0.01651
  2250	     0.40623	     0.01607
  2300	     0.39729	     0.01561
  2350	     0.36782	     0.01453
  2400	     0.32987	     0.01357
  2450	     0.28740	     0.01243
  2500	     0.27641	     0.01178
  2550	     0.25241	     0.01084
  2600	     0.26852	     0.01116
  2650	     0.25590	     0.01079
  2700	     0.22106	     0.00972
  2750	     0.17278	     0.00851
  2800	     0.14500	     0.00770
  2850	     0.19553	     0.00868
  2900	     0.12311	     0.00689
  2950	     0.17483	     0.00790
  3000	     0.19118	     0.00809
  3050	     0.16477	     0.00753
  3100	     0.12005	     0.00628
  3150	     0.10220	     0.00566
  3200	     0.09242	     0.00522
  3250	     0.10388	     0.00548
  3300	     0.11627	     0.00580
  3350	     0.10831	     0.00547
  3400	     0.11021	     0.00550
  3450	     0.10111	     0.00524
  3500	     0.08745	     0.00477
  3550	     0.05075	     0.00346
  3600	     0.09608	     0.00478
  3650	     0.08311	     0.00439
  3700	     0.07914	     0.00426
  3750	     0.06191	     0.00376
  3800	     0.05915	     0.00360
  3850	     0.06810	     0.00379
  3900	     0.07309	     0.00384
  3950	     0.05135	     0.00323
  4000	     0.05686	     0.00332
  4050	     0.04059	     0.00272
  4100	     0.05503	     0.00325
  4150	     0.04428	     0.00280
  4200	     0.04276	     0.00278
  4250	     0.03796	     0.00256
  4300	     0.04227	     0.00273
  4350	     0.03961	     0.00253
  4400	     0.04070	     0.00255
  4450	     0.03142	     0.00224
  4500	     0.03054	     0.00213
  4550	     0.03475	     0.00236
  4600	     0.03396	     0.00222
  4650	     0.04015	     0.00240
  4700	     0.03305	     0.00211
  4750	     0.02492	     0.00188
  4800	     0.02148	     0.00171
  4850	     0.02712	     0.00188
  4900	     0.02683	     0.00182
  4950	     0.02066	     0.00160
# extra	     0.20122
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.013050 seconds
# 2511.008267 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	877840.21875	        -nan
    50	  4695.77846	    50.15540
   100	  1758.68539	    18.37314
   150	   906.53962	     9.45419
   200	   540.73948	     5.68124
   250	   324.72373	     3.63544
   300	   219.53376	     2.49267
   350	   157.54138	     1.85650
   400	   111.12945	     1.37822
   450	    90.16521	     1.11195
   500	    69.92247	     0.89307
   550	    52.63137	     0.70990
   600	    39.98700	     0.57462
   650	    31.65188	     0.46891
   700	    25.56976	     0.39590
   750	    22.40506	     0.34665
   800	    17.23344	     0.28673
   850	    15.59332	     0.25908
   900	    13.40045	     0.22416
   950	     9.32615	     0.18010
  1000	     8.19143	     0.16076
  1050	     6.40908	     0.13570
  1100	     6.24264	     0.12675
  1150	     5.35011	     0.11330
  1200	     4.79374	     0.10306
  1250	     4.42472	     0.09494
  1300	     3.11980	     0.07614
  1350	     2.72210	     0.06888
  1400	     2.88230	     0.06854
  1450	     2.39370	     0.06017
  1500	     2.22270	     0.05634
  1550	     1.67670	     0.04739
  1600	     1.67768	     0.04664
  1650	     1.62162	     0.04346
  1700	     1.25504	     0.03721
  1750	     1.22413	     0.03605
  1800	     1.09015	     0.03287
  1850	     0.84357	     0.02840
  1900	     0.78021	     0.02637
  1950	     0.84295	     0.02672
  2000	     0.76508	     0.02464
  2050	     0.55465	     0.02079
  2100	     0.57746	     0.02033
  2150	     0.48255	     0.01794
  2200	     0.41033	     0.01644
  2250	     0.40242	     0.01597
  2300	     0.39735	     0.01558
  2350	     0.36902	     0.01455
  2400	     0.33498	     0.01367
  2450	     0.29389	     0.01257
  2500	     0.27698	     0.01178
  2550	     0.25236	     0.01084
  2600	     0.26413	     0.01106
  2650	     0.25439	     0.01077
  2700	     0.22365	     0.00977
  2750	     0.17556	     0.00857
  2800	     0.14312	     0.00764
  2850	     0.19758	     0.00874
  2900	     0.12639	     0.00699
  2950	     0.17411	     0.00788
  3000	     0.19234	     0.00812
  3050	     0.16299	     0.00749
  3100	     0.11853	     0.00623
  3150	     0.10310	     0.00568
  3200	     0.09281	     0.00524
  3250	     0.10490	     0.00550
  3300	     0.11589	     0.00579
  3350	     0.10872	     0.00548
  3400	     0.11102	     0.00552
  3450	     0.10019	     0.00520
  3500	     0.08734	     0.00476
  3550	     0.05156	     0.00349
  3600	     0.09664	     0.00480
  3650	     0.08412	     0.00442
  3700	     0.07899	     0.00426
  3750	     0.06158	     0.00376
  3800	     0.05820	     0.00357
  3850	     0.06747	     0.00378
  3900	     0.07341	     0.00384
  3950	     0.05079	     0.00321
  4000	     0.05699	     0.00333
  4050	     0.04105	     0.00274
  4100	     0.05491	     0.00325
  4150	     0.04413	     0.00279
  4200	     0.04179	     0.00274
  4250	     0.03827	     0.00257
  4300	     0.04172	     0.00271
