# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.034648 seconds
# 945.734309 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  3850	     0.05961	     0.00354
  3900	     0.06241	     0.00356
  3950	     0.05340	     0.00324
  4000	     0.05212	     0.00318
  4050	     0.05174	     0.00312
  4100	     0.04677	     0.00298
  4150	     0.04521	     0.00285
  4200	     0.04727	     0.00289
  4250	     0.04176	     0.00268
  4300	     0.04183	     0.00265
  4350	     0.04359	     0.00269
  4400	     0.03943	     0.00253
  4450	     0.03257	     0.00226
  4500	     0.03799	     0.00237
  4550	     0.03673	     0.00235
  4600	     0.03256	     0.00220
  4650	     0.03194	     0.00213
  4700	     0.02961	     0.00202
  4750	     0.03045	     0.00206
  4800	     0.03094	     0.00203
  4850	     0.02441	     0.00179
  4900	     0.02524	     0.00181
  4950	     0.02510	     0.00179
# extra	     0.20000
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.038104 seconds
# 859.966158 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	876250.21875	        -nan
    50	  4694.82296	    50.05425
   100	  1777.50447	    18.42215
   150	   920.76650	     9.42946
   200	   525.84495	     5.54920
   250	   337.08936	     3.65785
   300	   227.04236	     2.54306
   350	   165.94410	     1.88943
   400	   118.86196	     1.42182
   450	    89.86909	     1.10877
   500	    69.58258	     0.88468
   550	    51.97272	     0.70089
   600	    40.66380	     0.57526
   650	    32.89488	     0.47901
   700	    25.84114	     0.39673
   750	    21.33440	     0.33858
   800	    17.10705	     0.28522
   850	    15.21226	     0.25390
   900	    12.14986	     0.21554
   950	     9.93433	     0.18545
  1000	     8.57714	     0.16369
  1050	     7.19582	     0.14321
  1100	     6.06686	     0.12573
  1150	     5.22978	     0.11188
  1200	     4.46200	     0.09925
  1250	     3.96899	     0.09000
  1300	     3.47356	     0.08109
  1350	     2.95441	     0.07181
  1400	     2.50442	     0.06400
  1450	     2.29452	     0.05908
  1500	     2.02136	     0.05353
  1550	     1.83205	     0.04936
  1600	     1.61351	     0.04503
  1650	     1.35049	     0.03991
  1700	     1.30649	     0.03807
  1750	     1.16858	     0.03502
  1800	     1.04873	     0.03214
  1850	     0.90773	     0.02921
  1900	     0.82653	     0.02717
  1950	     0.77445	     0.02554
  2000	     0.68223	     0.02336
  2050	     0.64301	     0.02214
  2100	     0.57115	     0.02028
  2150	     0.55768	     0.01958
  2200	     0.46073	     0.01743
  2250	     0.44734	     0.01678
  2300	     0.38268	     0.01514
  2350	     0.37319	     0.01472
  2400	     0.33256	     0.01358
  2450	     0.34443	     0.01350
  2500	     0.30821	     0.01249
  2550	     0.25441	     0.01115
  2600	     0.24337	     0.01073
  2650	     0.22356	     0.01003
  2700	     0.23005	     0.00997
  2750	     0.17843	     0.00864
  2800	     0.20638	     0.00915
  2850	     0.15636	     0.00778
  2900	     0.17731	     0.00812
  2950	     0.15364	     0.00748
  3000	     0.14614	     0.00718
  3050	     0.14666	     0.00711
  3100	     0.13257	     0.00665
  3150	     0.12294	     0.00621
  3200	     0.11213	     0.00588
  3250	     0.09839	     0.00540
  3300	     0.10265	     0.00546
  3350	     0.08570	     0.00489
  3400	     0.10181	     0.00527
  3450	     0.09066	     0.00488
  3500	     0.08433	     0.00459
  3550	     0.07395	     0.00426
  3600	     0.08562	     0.00454
  3650	     0.07520	     0.00421
  3700	     0.06286	     0.00377
  3750	     0.06696	     0.00387
  3800	     0.06740	     0.00382
  3850	     0.06356	     0.00365
  3900	     0.05845	     0.00347
  3950	     0.05871	     0.00342
  4000	     0.05057	     0.00315
  4050	     0.04661	     0.00296
  4100	     0.04968	     0.00302
  4150	     0.04322	     0.00278
  4200	     0.04685	     0.00286
  4250	     0.04476	     0.00279
  4300	     0.04811	     0.00288
  4350	     0.04027	     0.00259
  4400	     0.03770	     0.00245
  4450	     0.03425	     0.00233
  4500	     0.03558	     0.00234
  4550	     0.03327	     0.00223
  4600	     0.03518	     0.00229
  4650	     0.02853	     0.00199
  4700	     0.02744	     0.00194
  4750	     0.03037	     0.00204
  4800	     0.03010	     0.00202
  4850	     0.02777	     0.00192
  4900	     0.02523	     0.00180
  4950	     0.02633	     0.00183
# extra	     0.20018
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.034761 seconds
# 942.674716 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	878047.21875	        -nan
    50	  4690.73605	    50.16050
   100	  1787.35886	    18.45918
   150	   909.59916	     9.40645
   200	   528.85609	     5.58795
   250	   331.38191	     3.63632
   300	   222.72652	     2.52970
   350	   158.60354	     1.85410
   400	   116.46384	     1.40851
   450	    87.72348	     1.09587
   500	    65.90451	     0.86598
   550	    51.96432	     0.70360
   600	    41.05929	     0.57802
   650	    32.24623	     0.47487
   700	    26.78591	     0.40466
   750	    21.40221	     0.34044
   800	    17.26053	     0.28724
   850	    14.85397	     0.25144
