# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.147072 seconds
# 222.802805 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  4700	     0.09888	     0.00159
  4750	     0.09807	     0.00161
  4800	     0.09015	     0.00150
  4850	     0.08504	     0.00144
  4900	     0.07789	     0.00133
  4950	     0.07145	     0.00127
# extra	     0.02348
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.149903 seconds
# 218.595104 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20584.65527	   307.64146
    50	  3363.89000	    45.68973
   100	  1319.17044	    17.00406
   150	   738.19985	     8.88304
   200	   488.02427	     5.46831
   250	   344.61830	     3.67506
   300	   258.99619	     2.63692
   350	   200.79074	     1.96245
   400	   159.14060	     1.51377
   450	   133.14665	     1.20417
   500	   109.10932	     0.97349
   550	    94.13753	     0.80674
   600	    80.47760	     0.67337
   650	    70.00050	     0.56990
   700	    61.73784	     0.48952
   750	    53.40190	     0.42141
   800	    45.57003	     0.36275
   850	    42.39555	     0.31962
   900	    36.45086	     0.27803
   950	    33.11837	     0.24837
  1000	    29.62918	     0.22044
  1050	    26.35659	     0.19515
  1100	    23.97303	     0.17512
  1150	    21.50319	     0.15755
  1200	    19.44091	     0.14233
  1250	    17.55734	     0.12884
  1300	    15.71415	     0.11613
  1350	    14.49292	     0.10621
  1400	    13.11731	     0.09674
  1450	    12.12002	     0.08842
  1500	    11.09314	     0.08122
  1550	    10.17498	     0.07453
